tau	g_0_tau_up
10.5625	(-2.4528812666368234e-05-0.011931585385978955j)
10.625	(0.0005780913229249175-0.011853748588390856j)
10.6875	(-2.41377018359531e-05-0.01180468989823992j)
10.75	(0.0005716437892447669-0.01172842797821125j)
10.8125	(-2.3736591414644367e-05-0.011680576779657448j)
10.875	(0.0005653647984352154-0.011605841942289741j)
10.9375	(-2.3326943683986802e-05-0.01155915986730531j)
11.0	(0.0005592472966152089-0.01148590609093891j)
11.0625	(-2.2910525606635156e-05-0.011440356176092322j)
11.125	(0.0005532842266166133-0.011368539096852814j)
11.1875	(-2.2489288496175186e-05-0.011324085691394283j)
11.25	(0.0005474686438260608-0.011253662507844526j)
11.3125	(-2.2065233311021693e-05-0.011210271205363408j)
11.375	(0.0005417938382119864-0.011141200610494291j)
11.4375	(-2.1640282382165248e-05-0.01109883820804795j)
11.5	(0.0005362534377040312-0.011031080348183833j)
11.5625	(-2.1216183375910493e-05-0.010989714827950685j)
11.625	(0.0005308414692579652-0.01092323127931688j)
11.6875	(-2.0794463801555732e-05-0.010882831800230745j)
11.75	(0.000525552366978474-0.010817585548644936j)
11.8125	(-2.0376437538155998e-05-0.010778122433254551j)
11.875	(0.0005203809349817606-0.01071407784354072j)
11.9375	(-1.9963247529456796e-05-0.010675522549530369j)
12.0	(0.0005153222868144729-0.010612645317790142j)
12.0625	(-1.9555919481964185e-05-0.010574970391485344j)
12.125	(0.0005103717870271133-0.010513227481518634j)
12.1875	(-1.9155402999980475e-05-0.010476406498127037j)
12.25	(0.0005055250143623598-0.010415766069260299j)
12.3125	(-1.8762585910669666e-05-0.010379773568697813j)
12.375	(0.0005007777551154714-0.010320204904505748j)
12.4375	(-1.8378278743446394e-05-0.010285016332279483j)
12.5	(0.0004961260244867548-0.010226489778998354j)
12.5625	(-1.800317608302484e-05-0.010192081439872137j)
12.625	(0.0004915661052634528-0.010134568360761681j)
12.6875	(-1.7637808770270408e-05-0.010100917389712426j)
12.75	(0.0004870945871046344-0.010044390137678313j)
12.8125	(-1.7282505511223567e-05-0.010011474487910794j)
12.875	(0.0004827083871784782-0.009955906393249257j)
12.9375	(-1.6937382190248488e-05-0.00992370483516564j)
13.0	(0.00047840473666475847-0.009869070199522413j)
13.0625	(-1.6602369525608356e-05-0.009837562319580374j)
13.125	(0.00047418112905877707-0.009783836403863013j)
13.1875	(-1.627727532334711e-05-0.009753002591238465j)
13.25	(0.0004700352420525975-0.00970016158700816j)
13.3125	(-1.5961862309794633e-05-0.009669983000623912j)
13.375	(0.0004659648572968452-0.00961800398158717j)
13.4375	(-1.5655914711120485e-05-0.009588462498766978j)
13.5	(0.00046196780410449824-0.009537323358127152j)
13.5625	(-1.5359271465461384e-05-0.009508401514420364j)
13.625	(0.000458041942598996-0.009458080900146769j)
13.6875	(-1.5071818806005385e-05-0.009429761833377275j)
13.75	(0.00045418518479989475-0.009380239093791404j)
13.8125	(-1.4793451729456283e-05-0.009352506502723595j)
13.875	(0.00045039553782991117-0.009303761649799793j)
13.9375	(-1.4524024141315383e-05-0.009276599771358907j)
14.0	(0.00044667114791737284-0.009228613462185523j)
14.0625	(-1.4263308239836903e-05-0.009202007064628126j)
14.125	(0.00044301032709929706-0.009154760595995508j)
14.1875	(-1.4010977646024964e-05-0.009128694981294452j)
14.25	(0.0004394115522447298-0.009082170289614208j)
14.3125	(-1.3766620383171392e-05-0.009056631296761423j)
14.375	(0.0004358734344410008-0.009010810954879048j)
14.4375	(-1.352977958423698e-05-0.00898578495588593j)
14.5	(0.00043239466491038804-0.00894065215916088j)
14.5625	(-1.3300011704604894e-05-0.008916126041209909j)
14.625	(0.0004289739515843003-0.008871664577936379j)
14.6875	(-1.3076944683058011e-05-0.008847625709061125j)
14.75	(0.0004256099662780753-0.008803819915536252j)
