tau	g_0_tau_up
43.75	(-0.39662381299315341288-2.6841719709770129384e-16j)
43.875	(-0.39651759341252995617-2.644183148490443394e-16j)
44.0	(-0.39641206052571592577-2.6307427208509877748e-16j)
44.125	(-0.3963072137772250536-2.618231845696694746e-16j)
44.25	(-0.39620305261552468679-2.6146206398400842442e-16j)
44.375	(-0.3960995764930231311-2.5364449251133306708e-16j)
44.5	(-0.3959967848660632117-2.5358697368025857975e-16j)
44.625	(-0.3958946771949100607-2.4779037649761768004e-16j)
44.75	(-0.39579325294374345656-2.4859562028032580142e-16j)
44.875	(-0.39569251158064633334-2.4610888374841988538e-16j)
45.0	(-0.39559245257759667602-2.4663636028143270007e-16j)
45.125	(-0.39549307541045863879-2.4149941647624568845e-16j)
45.25	(-0.39539437955897149823-2.4066864259111173043e-16j)
45.375	(-0.39529636450674265902-2.3661888542606031457e-16j)
45.5	(-0.39519902974123677364-2.384708501733379376e-16j)
45.625	(-0.39510237475376769334-2.3579868621787723445e-16j)
45.75	(-0.39500639903948864262-2.3265597560788206619e-16j)
45.875	(-0.39491110209738422565-2.2909160802627676697e-16j)
46.0	(-0.3948164834302617665-2.2678589831706685593e-16j)
46.125	(-0.39472254254474153923-2.2028548954715153731e-16j)
46.25	(-0.39462927895124905175-2.2183181436681326682e-16j)
46.375	(-0.39453669216400633069-2.2257674675669892185e-16j)
46.5	(-0.39444478170102281744-2.1855949448099838976e-16j)
46.625	(-0.39435354708408726365-2.1529964186137591194e-16j)
46.75	(-0.39426298783876045917-2.152544711824856162e-16j)
46.875	(-0.39417310349436507355-2.0731454977104631543e-16j)
47.0	(-0.39408389358397871716-2.0657354814343151239e-16j)
47.125	(-0.39399535764442616959-2.0349596642614631932e-16j)
47.25	(-0.39390749521626960972-2.0431207605338093727e-16j)
47.375	(-0.39382030584380295357-1.983942936022785688e-16j)
47.5	(-0.39373378907504114066-2.0622965938429116688e-16j)
47.625	(-0.3936479444617157486-2.066558691579927897e-16j)
47.75	(-0.39356277155926366884-1.9988133935052229814e-16j)
