wn	g_0_wn_up
-102.167211088618060444	(7.2850789627202163514e-19+0.009785865919755006026j)
-102.03631139471849565	(2.1385980587101032566e-19+0.0097984159939922023386j)
-101.90541170081890243	(8.565835889731516831e-19+0.009810998293462337358j)
-101.77451200691933764	(1.1588519293132012062e-19+0.0098236129424255098225j)
-101.64361231301977284	(3.3799229385412859863e-19+0.0098362600657813901994j)
-101.512712619120193835	(2.9050763178095012768e-18+0.009848939789073340653j)
-101.38181292522061483	(-1.9013524818758134574e-18+0.009861652238492550626j)
-101.25091323132103582	(-7.8457799208204341234e-20+0.009874397540882248747j)
-101.12001353742147103	(-5.280764150102874652e-19+0.00988717582374188525j)
-100.98911384352187781	(1.2526919328807622548e-18+0.0098999872152314202095j)
-100.858214149622313016	(1.2282084411550933211e-19+0.009912831844175552798j)
-100.72731445572274822	(4.3468277852597283843e-19+0.009925709840068087583j)
-100.596414761823169215	(6.572893431787233532e-19+0.00993862133307626093j)
-100.46551506792359021	(-6.352714005708887241e-20+0.009951566454045112503j)
-100.3346153740240112	(4.702417264898059364e-19+0.009964545334501934831j)
-100.20371568012444641	(-3.3580144048310426927e-20+0.009977558106660679507j)
-100.07281598622488161	(-3.4466681514538005343e-18+0.0099906049034264917535j)
-99.941916292325288396	(1.8903223083038472533e-19+0.010003685858400192948j)
-99.8110165984257236	(-2.2288157709714750957e-19+0.0100168011058828724386j)
-99.680116904526144594	(3.594783551773347863e-18+0.010029950780880435984j)
-99.54921721062656559	(6.9444692983967088797e-19+0.010043135019108280839j)
-99.41831751672698658	(4.860167722092271409e-19+0.010056353956995939605j)
-99.28741782282742179	(-7.611581080468701678e-20+0.010069607731691777863j)
-99.15651812892785699	(1.250762233012615349e-19+0.01008289648106775252j)
-99.025618435028263775	(-9.941333182555339626e-19+0.01009622034372416495j)
-98.89471874112869898	(4.190881211298824575e-19+0.01010957945899449914j)
-98.763819047229119974	(3.1021692257736954857e-19+0.010122973966950265037j)
-98.63291935332955518	(-1.4383670213526771695e-18+0.010136404008405883528j)
-98.50201965942996196	(-3.2677900292053516498e-19+0.010149869724923637343j)
-98.37111996553039717	(1.9904416467583676173e-19+0.010163371258818615014j)
-98.24022027163083237	(-4.3841114691600980607e-19+0.010176908753163750251j)
-98.109320577731239155	(3.6838063702620469615e-19+0.010190482351794845697j)
-97.97842088383167436	(5.7249078402309202322e-18+0.010204092199315678222j)
-97.847521189932095353	(9.924654932369908874e-19+0.010217738441103126762j)
-97.71662149603253056	(-4.367012289786936557e-19+0.010231421223312355678j)
-97.58572180213293734	(-8.758680773080679959e-19+0.010245140692882001576j)
-97.454822108233372546	(8.3291138420343973708e-19+0.010258896997539460744j)
-97.32392241433380775	(2.0193021084549561288e-19+0.010272690285806160976j)
-97.193022720434228745	(2.4815765934420220077e-19+0.010286520707002923605j)
-97.06212302653464974	(1.2152458937935216031e-18+0.010300388411255341145j)
-96.93122333263507073	(-1.7123015173467947429e-18+0.010314293549499217381j)
-96.80032363873550594	(1.1645472115125881688e-19+0.010328236273485943281j)
-96.66942394483591272	(1.2671100636780358619e-18+0.010342216735788233722j)
-96.538524250936347926	(1.7154946521134657096e-19+0.010356235089805451363j)
-96.40762455703678313	(4.950675641437449162e-19+0.010370291489769339899j)
-96.276724863137204125	(1.2617309634402961213e-18+0.010384386090749648038j)
-96.14582516923762512	(3.0690727292171384186e-19+0.010398519048659833272j)
-96.01492547533804611	(1.3552003959476394764e-18+0.0104126905202627916686j)
-95.88402578143848132	(3.2751884738227242198e-19+0.010426900663176669193j)
-95.75312608753891652	(-1.4738774993930093957e-18+0.010441149635880688645j)
-95.622226393639323305	(-1.1337151590512771891e-18+0.010455437597721045986j)
-95.49132669973975851	(7.5039168180965151133e-19+0.010469764708916832682j)
-95.360427005840179504	(2.26262180984894014e-18+0.010484131130566022236j)
-95.2295273119406005	(2.7147531654424962585e-19+0.0104985370246515174325j)
-95.09862761804102149	(6.088344268236604409e-19+0.0105129825540472288115j)
-94.9677279241414567	(3.8606377967393027363e-19+0.01052746788252419477j)
-94.8368282302418919	(1.4628160082079637873e-18+0.010541993174756769322j)
-94.705928536342298685	(5.082238420685917854e-19+0.010556558596328891389j)
-94.57502884244273389	(-1.1237153537298311733e-18+0.010571164313740317661j)
-94.444129148543154884	(6.817635115529075433e-19+0.010585810494412995972j)
-94.31322945464359009	(-2.3955382145118357903e-19+0.010600497306697464692j)
-94.18232976074399687	(4.812738158318112031e-19+0.010615224919879264268j)
-94.051430066844432076	(-4.8012395735377644744e-19+0.010629993504185461517j)
-93.92053037294486728	(2.319434216666444016e-18+0.010644803230791206883j)
-93.789630679045274064	(5.73813993875662843e-19+0.010659654271826326383j)
-93.65873098514570927	(-1.2542620831965343659e-18+0.010674546800381989886j)
-93.52783129124613026	(-1.1757790025477982608e-18+0.0106894809905174470455j)
-93.39693159734656547	(-3.345804217478186696e-18+0.010704457017266764962j)
-93.26603190344697225	(1.1664574706878220092e-18+0.010719475056645718508j)
-93.135132209547407456	(1.2762936155276477477e-19+0.010734535285658611259j)
-93.00423251564784266	(7.7049245687005562703e-19+0.010749637882305285511j)
-92.873332821748263655	(2.231815324373469223e-20+0.010764783025588102808j)
-92.74243312784868465	(3.5193417697589597808e-19+0.010779970895518999063j)
-92.61153343394910564	(7.006362667147483745e-18+0.010795201673126633354j)
-92.48063374004954085	(2.389610331940863554e-19+0.010810475540463571412j)
-92.34973404614994763	(1.0344584644816843083e-18+0.0108257926806135159475j)
-92.218834352250382835	(-1.5020289853434540279e-18+0.010841153277698625454j)
-92.08793465835081804	(5.751065192417026369e-19+0.010856557516886900655j)
-91.957034964451239034	(2.374118451832862415e-18+0.0108720055843995987155j)
-91.82613527055166003	(1.7539324575992400747e-18+0.0108874976675187411235j)
-91.69523557665208102	(-2.8477328883736829618e-19+0.010903033954594670146j)
-91.56433588275251623	(-4.259675316589438722e-19+0.010918614635053683348j)
-91.43343618885292301	(1.3683777051517624914e-18+0.0109342398994057201506j)
-91.302536494953358215	(-5.2945228546354028392e-20+0.0109499099392521264534j)
-91.17163680105379342	(1.4293423180052355238e-18+0.0109656249472934626266j)
-91.040737107154214414	(-1.3283290987430360628e-19+0.010981385117337429461j)
-90.90983741325463541	(-1.6810156546900518884e-18+0.010997190644306795854j)
-90.7789377193550564	(7.289760820509796728e-19+0.011013041724247435785j)
-90.648038025455491606	(3.8732345855494790225e-19+0.011028938554336439881j)
-90.51713833155592681	(-7.5715227564091498136e-20+0.011044881332890285966j)
-90.386238637656333594	(3.6003691904020066882e-18+0.011060870259373049504j)
-90.2553389437567688	(-1.3771054919003293793e-19+0.011076905534404759765j)
-90.12443924985718979	(6.6669511883390210634e-19+0.011092987359769733435j)
-89.99353955595761079	(-5.5146770197135824793e-19+0.011109115938425071293j)
-89.86263986205803178	(7.591128816327772948e-20+0.011125291474509191314j)
-89.731740168158466986	(3.8369713445110642045e-19+0.011141514173350391265j)
-89.60084047425890219	(4.841552763776656126e-18+0.011157784241475563955j)
-89.469940780359308974	(1.4125346407960069389e-18+0.011174101886618967999j)
-89.33904108645974418	(-1.7232536467472475432e-18+0.011190467317731007252j)
-89.20814139256016517	(-1.4135916136397217429e-18+0.011206880744987192389j)
-89.07724169866060038	(-1.0735086545673637045e-18+0.011223342379797112897j)
-88.94634200476100716	(-4.3320923281070585763e-18+0.01123985243481350621j)
-88.815442310861442365	(1.3754444425834753689e-19+0.011256411123941401434j)
-88.68454261696187757	(-4.1055357076623422277e-18+0.011273018662347365423j)
-88.55364292306228435	(1.7348835086526180217e-18+0.011289675266468780085j)
-88.42274322916271956	(-2.4824691777997345191e-18+0.011306381154023284474j)
-88.29184353526314055	(1.4166518306104653504e-18+0.011323136544018225572j)
-88.16094384136357576	(1.0817312750087485902e-18+0.011339941656760207933j)
-88.03004414746398254	(3.0006239824614791683e-18+0.011356796713864771714j)
-87.899144453564417745	(3.7748567256451523037e-19+0.011373701938266094977j)
-87.76824475966485295	(1.9416188576261645614e-19+0.011390657554226841716j)
-87.637345065765273944	(1.5320596301273141077e-18+0.011407663787348056722j)
-87.50644537186569494	(1.0848394176763819976e-18+0.011424720864579150648j)
-87.37554567796611593	(-4.0813034824529345385e-18+0.0114418290142280134475j)
-87.244645984066551136	(-1.0372504585173385029e-19+0.011458988465971171183j)
-87.11374629016695792	(4.8415604969719038127e-19+0.011476199450864057322j)
-86.982846596267393124	(1.9362898421554865374e-18+0.0114934622013513794425j)
-86.85194690236782833	(1.6013196674137634601e-18+0.011510776951277579619j)
-86.72104720846824932	(-7.0259278914017033746e-19+0.011528143935897369396j)
-86.59014751456867032	(4.041350179002573945e-18+0.01154556339188638793j)
-86.45924782066909131	(1.5263469390123638586e-18+0.011563035557351912172j)
-86.328348126769526516	(-2.6402836728400628639e-19+0.011580560671843764808j)
-86.19744843286996172	(-1.4394382124171794945e-18+0.011598138976365187508j)
-86.066548738970368504	(-1.5677928692589835467e-18+0.011615770713383896315j)
